id,anio,mes,maquina,central,agente,agente_descripcion,tipo_maquina,fuente_generacion,tecnologia,combustible,consumo,fecha_proceso,lote_id_log,indice_tiempo
222959,2019,10,OBEMDI01,OBEM,EMISSANG,EMSA GENERACION,MOTOR DIESEL,Térmica,DI,GAS OIL,42.482,2020-05-05 11:07:07.467556,67,2019-10
222960,2019,11,ACAJTG01,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,TURBO GAS,Térmica,CC,GAS NATURAL,12236.638,2020-05-05 11:07:07.467556,67,2019-11
222961,2019,11,ACAJTG02,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,TURBO GAS,Térmica,CC,GAS NATURAL,12626.95,2020-05-05 11:07:07.467556,67,2019-11
222962,2019,11,ACAJTG03,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,TURBO GAS,Térmica,CC,GAS NATURAL,12547.858,2020-05-05 11:07:07.467556,67,2019-11
222963,2019,11,ACAJTG04,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,TURBO GAS,Térmica,CC,GAS NATURAL,12086.192,2020-05-05 11:07:07.467556,67,2019-11
222964,2019,11,ACAJTG05,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,TURBO GAS,Térmica,CC,GAS NATURAL,12368.193,2020-05-05 11:07:07.467556,67,2019-11
222965,2019,11,ACAJTG06,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,TURBO GAS,Térmica,CC,GAS NATURAL,8662.486,2020-05-05 11:07:07.467556,67,2019-11
222966,2019,11,AESPTG01,AESP,CTAESPAG,C.T. AES PARANA,TURBO GAS,Térmica,CC,GAS NATURAL,38703.993,2020-05-05 11:07:07.467556,67,2019-11
222967,2019,11,AESPTG02,AESP,CTAESPAG,C.T. AES PARANA,TURBO GAS,Térmica,CC,GAS NATURAL,28054.095,2020-05-05 11:07:07.467556,67,2019-11
222968,2019,11,ALEMDI01,ALEM,CTALEMAG,CT ALEM - AGGREKO,MOTOR DIESEL,Térmica,DI,GAS OIL,1145.315,2020-05-05 11:07:07.467556,67,2019-11
222969,2019,11,ALOMDI01,ALOM,YPFLOMQA,CENTRAL TÉRMICA LOMITA AUTOG.,MOTOR DIESEL,Térmica,DI,GAS NATURAL,2635.945,2020-05-05 11:07:07.467556,67,2019-11
222970,2019,11,ANATDI01,ANAT,CTANATSG,CT AÑATUYA - SULLAIR,MOTOR DIESEL,Térmica,DI,GAS OIL,250.567,2020-05-05 11:07:07.467556,67,2019-11
222971,2019,11,ANATDI02,ANAT,CTANA2SG,CT AÑATUYA II - SULLAIR,MOTOR DIESEL,Térmica,DI,GAS OIL,68.051,2020-05-05 11:07:07.467556,67,2019-11
222972,2019,11,APARTV01,APAR,SIDESN1A,SIDERAR PTA. IND. SAN NICOLAS,TURBO VAPOR,Térmica,TV,GAS NATURAL,0.496,2020-05-05 11:07:07.467556,67,2019-11
